WP_CD;WP_TTL
HEALTH-4.3.1;Neglected infectious diseases
HEALTH-2009-4.3.1-1;Discovery and development of new vaccines or drugs for helminth infections (SICA)
HEALTH-2009-4.3.1-2;Identification and development of vaccine candidates for neglected bacterial infections (SICA)
HEALTH-2009-4.3.1-3;Human immune responses to co-infections of poverty-related (HIV, malaria, TB) and neglected infectious diseases (SICA)
HEALTH-4.3.2;International Public Health and Health Systems
HEALTH-2009-4.3.2-1;Strategies and interventions for improving reproductive health (SICA)
HEALTH-2009-4.3.2-2;Access to medicines (SICA)
HEALTH-2009-4.3.2-3;Integration of Disease Surveillance and Health Systems Response (SICA)
HEALTH-4.3.3;Coordinated topics with Russia
HEALTH-2009-4.3.3-1;Comparative population genetic studies on multifactorial diseases (SICA)
HEALTH-2009-4.3.3-2;Mechanisms of diabetic and weight-related co-morbidity in heart failure (SICA)
HEALTH-2009-2.3.1-1;Global collaborative research on the prevention of antibiotic resistance
HEALTH-2009-2.3.1-2;Impact of specific antibiotic therapies on the prevalence of resistant bacteria in the human host
HEALTH-2009-2.3.1-3;Clinical evaluation of point-of-care diagnostic tests for microbial detection and identification, antibiotic susceptibility determination and biomarkers
HEALTH-2009-2.3.2-1;Integration of European efforts in research on malaria
HEALTH-2009-2.3.2-2;Identification and pre-clinical testing of new vaccine candidates for tuberculosis
HEALTH-2009-2.3.2-3;Discovery and/or development of new and promising anti-HIV microbicides
HEALTH-2009-2.3.2-4;Mucosal and topical vaccines for poverty-related diseases (HIV/AIDS, malaria and/or TB)
HEALTH-2009-2.3.2-5;Translational vaccine research for poverty-related diseases (HIV/AIDS, malaria and/or TB)
HEALTH-2009-2.3.2-6;ERA-NET for stepping up European co-operation in HIV/AIDS research
HEALTH-2009-3.2-5;Research access to comparable healthcare data
HEALTH-2009-4.1-3;Targeting Publication Bias
SST-2008.1.1.4.;Future light-duty vehicle engines for road transport
SST-2008.2.5.1;Interoperable rolling stock
SST-2008.2.7.3.;Innovation process in surface transport
SST-2008.4.1.3.;Integral system solutions for safety
SST-2008.6.0.4.;Analysis and dissemination of key national and regional transport research results
SST-2008.6.0.5.;Stimulating International Cooperation with Latin American countries in developing sustainable freight transport systems
SST-2008.6.0.8.;ERA-NET ROAD II
TPT-2008.0.0.13;New mobility/organisational schemes: interconnection between short and long-distance transport networks
GALILEO-2007-1.1-01;Innovative GNSS-based Road Applications
GALILEO-2007-1.1-02;Innovative GNSS-based Mobile LBS Applications
GALILEO-2007-1.4-01;Accelerating EGNOS Adoption in Aviation
GALILEO-2007-1.7-01;Open Call for Focused Innovative Projects in Mass-Market GNSS Applications
GALILEO-2007-4.1-01;GSA Support
ENERGY.2008.2.1.2;Development and demonstration of building elements based on photovoltaics
ENERGY.2009.2.1.1;Efficiency and material issues for thin-film photovoltaics
ENERGY.2009.2.1.2;Solar Photovoltaics: Manufacturing and product issues for thin-film photovoltaics
ENERGY.2009.2.1.3;Support to the coordination of stakeholders' activities in the field of Photovoltaics
ENERGY.2009.2.2.1;Biomass to electricity from energy crops and recovered fuels
ENERGY.2008.2.3.1;Demonstration of large scale systems for on- and off-shore wind farms including their cost effective grid integration
ENERGY.2009.2.4.1;Understanding and mitigation of induced seismicity associated with geothermal field development
ENERGY.2009.2.5.1;Key components for Concentrated Solar Power
ENERGY.2008.2.7.2;Hydro: Innovative systems and components
ENERGY.2008.2.9.1;Storage for intermittent electricity
ENERGY.2009.2.9.1;Deep off-shore multi-purpose renewable energy conversion platforms for wind/ocean energy conversion
ENERGY.2009.2.9.2;Coordination action on off-shore renewable energy conversion platforms
ENERGY.2008.3.1.1;Biofuels from high moisture content biomass - Biomethane production
ENERGY.2009.3.2.1;Algal and other suitable non-food aquatic biomass feedstock for 2nd generation biofuel production
ENERGY.2009.3.2.2;Biowaste as feedstock for 2nd generation
ENERGY.2009.3.3.1;Sustainable Biorefineries
ENERGY.2009.3.3.2;Enhancing exchange of information, synergies and cross-fertilisation between projects in the field of Biorefineries
ENERGY.2009.3.7.1;Support to the coordination of stakeholders' activities in the field of Biofuels
ENERGY.2009.4.1.1;Low/medium temperature Solar thermal systems for industrial Process Heat
ENERGY-2007-4.4-01;Advanced compact storage systems
ENERGY.2009.4.5.1;Hybrid systems based on solar thermal heating/ cooling, backed up by biomass or geothermal to compensate heat load intermittence
ENERGY.2009.5.1.1;Innovative capture techniques
ENERGY.2009.5.2.1;Safe and reliable geological storage of CO2
ENERGY.2009.5.2.2;Towards an infrastructure for CO2 transport and storage
ENERGY.2008.6.1.2;Efficient and low-emission combustion processes in pulverized coal fired power plants
ENERGY.2008.6.1.3;Efficiency Improvement of Oxygen-based combustion
ENERGY.2008.6.1.4;Advanced Gas Turbines for solid Fuel Gasification Processes
ENERGY.2009.6.1.1;Efficiency increases in existing and new build pulverised coal power plants with a view to CCS
ENERGY.2009.5+6.2.1;Support to the coordination of stakeholders' activities in the field of Zero Emission Energy Production
ENERGY.2009.7.1.1;Wind-Grid Integration: overall optimisation of the electricity grid with wind and storage
ENERGY.2008.7.2.1;Innovative operational and monitoring tools for large power systems
ENERGY.2008.7.2.2;Innovative concepts and technologies for sustainable gas networks
ENERGY.2008.7.2.3;Diagnostics, Surveillance, Maintenance and Control of Power Transmission and Grid Connections
ENERGY.2008.7.2.4;Assessment of needs for reliable and flexible future European gas networks
ENERGY.2009.7.3.1;HTS Devices for Electricity Networks
ENERGY.2009.7.3.2;High density /rapid release energy storage
ENERGY.2009.7.3.3;Strategic impact of the roll-out of electric and plug-in hybrid vehicles on grid infrastructure
ENERGY.2009.7.3.4;Support to the coordination of stakeholders' activities in the field of Smart Grids
ENERGY.2008.8.1.1;Energy efficiency of industrial heat exchangers and boilers
ENERGY.2009.8.1.1;Energy efficiency in energy intensive industry
ENERGY.2008.8.2.1;High efficiency poly-generation - renewable energies for applications in industry
ENERGY.2008.8.4.1;CONCERTO communities: the way to the future
ENERGY.2008.8.6.2;Socio economic research in CONCERTO
ENERGY.2008.8.6.3;Socio-Economic research in industry and innovation in energy and polygeneration
ENERGY.2009.9.1.1;European energy infrastructure networks and systems transition planning
ENERGY.2008.9.2.1;"European scientific multidisciplinary ""think-tank"" to support energy policy and to assess the potential impacts of its measures"
ENERGY.2009.9.2.1;"European scientific multidisciplinary ""think-tank"" to support energy policy and to assess the potential impacts of its measures"
ENERGY.2008.10.1.4;Support to the French Presidency Conference on the European Strategic Energy Technology Plan (SET-Plan)
ENERGY.2009.10.1.1;Trans-national co-operation among NCPs
ENV.2007.1.2.1.1.;Indoor air pollution in Europe: an emerging environmental health issue
ENV.2007.2.2.1.2.;Ecology of important marine species
ENV.2007.1.2.1.2.;Environmental factors and their impact on reproduction and development
SiS-2007-1.2.2.1;European ethics and documentation centre
HEALTH;"SP3	Food, chemical products and health"
KBBE;Food, Agriculture, and Biotechnology
REGIONS-2007-2-02;Research and rural economies
PEOPLE;Marie-Curie Actions
SUSTDEV-2004-3.V.2.1.;Farming system management and multifunctional use of agriculture to implement the Sustainable Development Strategy
SUSTDEV-2004-3.VII.1.;Development of risk assessment methodologies
SUSTDEV-2002-3.2.2.2.;Integration and standardisation of enhanced product development tools
SEC-2007-6.3-01;Research in broad societal foresight to capture new and emerging threats as well as other aspects of security as an evolving concept (e.g. ethical and economic aspects)
HEALTH-2007-2.1.2-2;Modeling of T-cell activation
ENV.2007.4.1.1.2.;Contribution to a global biodiversity observation system
SEC-2007-4.2-02;Integrated specialist search and rescue system
Fission;Nuclear Fission and Radiation Protection
SUSTDEV-2002-3.4.2.4.;Integrating assistance and decision support tools to facilitate driving, piloting and manoeuvring
INFRA;Research Infrastructures
ENV-2009.1.1.1.1;Climate dynamics and abrupt changes - analysis of the palaeo-record
ENV-2009.1.1.6.3;Climate change impacts on the marine environment: research results and public perception
ENV-2009.1.1.6.4;ERA-NET on Climate Change Impacts and Responses
ENV-2009.1.2.1.1;Climate change and water related health issues in Europe
ENV-2009.1.2.1.2;Methods to quantify the impacts of climate and weather on health in developing low income countries
ENV-2009.1.2.2.1;Transport related air pollution and health impacts
ENV-2009.1.2.2.2;Health effects from electromagnetic fields (EMF): improved exposure assessment to wireless communication devices
ENV-2009.1.2.3.1;European coordination action on human biomonitoring
ENV-2009.1.3.1.1;Forest fires in the context of climate and social changes
ENV-2009.1.3.2.1;Costs of natural hazards
ENV-2009.1.3.2.2;Vulnerability assessment of buildings, lifelines systems and networks related to earthquakes
ENV-2009.1.3.3.1;Risk, prevention and management of urban floods
ENV-2009.2.1.2.1;Water management and climate change impacts in the long-term perspective
ENV-2009.2.1.3.1;Soil processes and modelling
ENV-2009.2.1.3.2;Desertification process and land degradation
ENV-2009.2.1.4.1;Assess the pan-European status of pollinators
ENV-2009.2.1.5.1;Sustainable development of coastal cities
ENV-2009.2.1.6.1;Sustainable forest management as a tool to prevent unwanted forest fires
ENV-2009.2.1.6.2;Forest ecosystem genomics
ENV-2009.2.2.1.1;Options for Ecosystem-based management
ENV-2009.2.2.1.2;Towards integrated European marine research strategy and programmes
ENV-2009.2.2.1.3;"Support to ""Maritime Partnership"""
ENV-2009.2.2.1.4;Integrated Coastal Zone Management
ENV-2009.2.2.1.5;Management and protection of coral reefs in the Wider Caribbean
ENV-2009.2.2.1.6;Contribution of subseafloor sampling programs to European deep-sea research
ENV-2009.3.1.1.1;Adaptation of water supply and sanitation systems to cope with climate change
ENV-2009.3.1.2.1;Construction Technologies for mitigating the impacts of soil sealing on soil functions and services, including mitigation of flood risk
ENV-2009.3.1.3.1;Supporting sustainable nationwide and local waste processing industry in ACP countries: legal framework, economical incentives, business/ organisational know-how
ENV-2009.3.1.5.1;Technologies for improved safety of the built environment in relation to flood events
ENV-2009.3.1.5.2;Benchmarking and labelling of the sustainability performance of buildings
ENV-2009.3.1.6.1;Innovative coastal defence technologies
ENV-2009.3.2.1.1;Technologies for protecting cultural heritage assets from risks and damages resulting from extreme events, especially in the case of earthquakes
ENV-2009.3.2.1.2;Technologies for protecting cultural heritage assets from risks and damages resulting from extreme events, especially in the cases of fires and storms
ENV-2009.3.3.1.1;Screening methods for assessing the toxicological and eco-toxicological properties of chemicals
ENV-2009.3.3.2.1;Improved Life Cycle Impact Assessment methods (LCIA) for better sustainability assessment of technologies
ENV-2009.3.3.2.2;Sustainable biorefineries
ENV-2009.3.3.2.3;Enhancing exchange of information, synergies and cross-fertilisation between projects in the field of biorefineries
ENV-2009.4.1.1.1;Contribution to observing systems for seismogenic hazards
ENV-2009.4.1.2.1;Further structuring the European approach to Earth Observation
ENV-2009.4.1.3.1;Contribution to observing systems for environment and health monitoring and modelling
ENV-2009.4.1.3.2;Earth observation in support of a sustainable exploitation of mineral resources
ENV-2009.4.1.4.1;Action in the domain of EO to support capacity building in GEO
ENV-2009.4.2.1.1;Network of excellence for Impact Assessment Tools
ENV-2009.4.2.3.1;Assessment of economic instruments to enhance the conservation and sustainable use of biodiversity
ENV-2009.4.2.3.2;Enhancing connectivity between research and policymaking in sustainable development
ENV-2007.5.1.1.1;Transnational co-operation among NCPs
ENV-2009.5.1.0.1;Research excellence and major infrastructure in China and potential for S&T cooperation with EU partners in the area of environment
ENV-2009.5.1.0.2;Knowledge transfer and uptake of EU-research results
ENV-1.2.1.;Health impacts of climate change
ENV-1.2.2.;Health effects of environmental stressors other than climate change
ENV-1.2.3.;Methods and decision support tools for environmental health risk analysis and policy development
ENV-2.1.6.;Integrated forest research
ENV-4.;Earth observation and assessment tools for sustainable development
